id,name,type,tier,address,distance_mi,drive_offpeak_min,drive_am_rush_min,drive_pm_rush_min,daycare_price_day,boarding_price_night,monthly_unlimited,grooming,training,services,hours_weekday,hours_saturday,hours_sunday,rating,review_count,review_source,website,pricing_confirmed,data_confidence,notes
dogphoria,DogPhoria,daycare-boarding,local-premium,"3571 Broad St, Chamblee GA 30341",1.0,5,7,10,$35.00,"$65 (standard 5x5) / $75 (luxury 5x8)",,Yes,No,"Daycare, Boarding, Webcams, Playgroups",7:30am–7pm,10am–3:30pm,4pm–6pm ONLY,4.7,20,Yelp,dogphoria.net,Yes — confirmed via user screenshot,High,"Closest on-corridor competitor. Sunday hours are a major weakness (only 2 hrs). Multi-dog boarding: $115/2 dogs · $180/3 dogs. $25 late pickup after 12pm."
vca,VCA Pets Are People Too,vet-boarding,medical,"4280 N Peachtree Rd, Chamblee GA 30341",0.5,3,4,5,N/A,Not listed,,No,No,"Veterinary, Medical Boarding",Standard vet hours,Standard vet hours,Standard vet hours,,,,vcahospitals.com/pets-are-people-too-chamblee,No,Low,"Medical boarding only — not a daycare competitor. Same road. Potential referral partner for post-surgical or medicated dogs."
puppy-haven-brookhaven,Puppy Haven Brookhaven,daycare-boarding,local-premium,"2740 Caldwell Rd NE, Brookhaven GA 30319",3.8,14,24,34,Not listed,Not listed,,Yes,Yes,"Daycare, Boarding, Grooming, Training",7am–7:30pm,8am–4pm,12pm–7pm,,125,Yelp,puppyhaven.com/locations/brookhaven,No — call for rates,Medium,"Multi-location (Buckhead + Chastain locations too). Evaluation required ($29.95); first night free after eval. Rewards points program. Indoor/outdoor play yards. MISSED in initial research — found via Google Maps screenshot."
dogtopia-brookhaven,Dogtopia of North Brookhaven,daycare-boarding,franchise,"2152 Johnson Ferry Rd NE, Atlanta GA 30319",4.2,16,28,38,$42.00,"$40–$85 (enrolled pricing)",$99/mo unlimited,Yes,No,"Daycare, Boarding, Spa, Grooming",M–F 7am–7pm,10am–5pm,1pm–5pm,,,,,dogtopia.com/atlanta-northbrookhaven,Yes,High,"National franchise. Membership/enrollment model. Open-play boarding (no kennel runs). Suite non-enrolled: $85/night."
camp-run-a-mutt,Camp Run-A-Mutt Dunwoody,daycare-boarding,franchise,"5486 Chamblee Dunwoody Rd Suite 16C, Dunwoody GA 30338",4.5,14,23,30,$43.00 (single),$65.00,$19.67/day unlimited est,Yes,Yes,"Daycare, Boarding, Grooming, Training, Cage-Free",7am–7pm,8am–4pm,CLOSED (boarding pickup 10am–3pm only),,,,,camprunamutt.com/dunwoody,Yes,High,"100% cage-free. Muttcam livestream. No Sunday daycare = direct gap opportunity. Holiday boarding $75/night. 5-day pkg $38.80/day, 10-day pkg $35/day."
bark-board-brookhaven,Bark & Board Brookhaven,daycare-boarding,local-premium,"Brookhaven GA 30319",4.5,15,28,38,$99/mo (intro),28-hr rate,,Yes,No,"Daycare, Boarding, Grooming, Specialty Food",Standard hours,Standard hours,Standard hours,,360,Birdeye,barkandboard.com,Partial,Medium,"2 Atlanta locations. First day free. Large kennels not crates. 360+ reviews. Intro: $99/first 30 days unlimited."
atlanta-pet-resort-dunwoody,Atlanta Pet Resort — Dunwoody,daycare-boarding,local-premium,"4343 Dunwoody Park Suite G, Dunwoody GA 30338",5.0,16,26,34,$32.00,$51.00 (from),,Yes,Yes,"Daycare, Boarding, Grooming, Training, Pet Sitting",7am–7pm,10am–2pm,12pm–6pm,,,,atlpetdunwoody.com,Yes,High,"Value pricing — cheapest confirmed daycare in market ($32/day). Very limited Saturday (10am–2pm only). Half-day: $20."
bhv-sandy-springs,Barking Hound Village — Sandy Springs,daycare-boarding,local-chain,"Sandy Springs GA",6.5,22,38,52,Not listed,Tiered suites,,Yes,Yes,"Daycare, Boarding, Grooming, Training",Extended hours,Extended hours,Extended hours,,,,barkinghoundvillage.com,No,Low,"Part of BHV 7-location Atlanta chain. No Chamblee/north DeKalb location. Book via app."
bhv-buckhead,Barking Hound Village — Buckhead,daycare-boarding,local-chain,"Pharr Rd NW, Atlanta GA",7.0,26,48,60,Not listed,Tiered suites,,Yes,Yes,"Daycare, Boarding, Grooming, Training",Extended hours,Extended hours,Extended hours,,,,barkinghoundvillage.com/pharr-road-buckhead,No,Low,"Premium Buckhead location. Indoor climate-controlled play yard."
bhv-cheshire,Barking Hound Village — Cheshire Bridge,daycare-boarding,local-chain,"Cheshire Bridge Rd NE, Atlanta GA",9.0,33,58,70,Not listed,Tiered suites,,Yes,Yes,"Daycare, Boarding, Grooming, Training",Extended hours,Extended hours,Extended hours,,,,barkinghoundvillage.com,No,Low,"BHV chain location. Furthest from property."
central-bark,Central Bark Atlanta,daycare-boarding,local-premium,"Atlanta / Brookhaven / Druid Hills",8.0,28,52,60,Not listed,Not listed,,Yes,No,"Enrichment Daycare, Boarding, Grooming",Standard hours,Standard hours,Standard hours,,,,centralbarkusa.com/atlanta,No,Low,"Enrichment daycare positioning — structured activities vs. free play."
